Référence;Libellé;Disponibilité;
CAF41;"Cal.20/76 Can.FAIR Eject. Can.76 1/2 Full";1
CAF42;"Cal.20/76 Can.FAIR Eject. Can.62 Lisse 1/2";1
CAF43;"Cal.20/76 Can.FAIR Eject. Can.68 CI ";1
CAF45;"Cal.28/70 Can.FAIR Eject. Can.70 1/2 Full";0
CAF46;"Cal.28/70 Can.FAIR Eject. Can.70 CI Bascule de 28";1
CAF47;"Cal.410 Can.FAIR Eject. Can.70 1/2 Full Bascule de 28";1
CAF39;"Can.FAIR Eject. Cal.20 Can.76 Sporting CI ";1
CAF42R;"Cal.20/76 Can.FAIR Eject. Can.62 CI / RAYE";0
CAF42T;"Cal.20/76 Can.FAIR Eject.SLUG Can.55 Lisse 1/2";0
CAF48;"Cal.28/70 Can.FAIR Eject. Can.70 CI Bascule de 20";1
CAF44;"Cal.20/76 Can.FAIR Eject. Can.68 lisse 1/2";1
CAF30;"Cal.20/76 Can.FAIR Ext. Can.71 CI Steel";1
CAF31;"Cal.20/76 Can.FAIR Ext. Can.76cm CI Steel";0
CAF32;"Cal.20/76 Can.FAIR Ext. Can.62 Lisse 1/2";1
CAF33;"Cal.20/76 Can.FAIR Ext. Can.68 CI ";0
CAF34;"Cal.28/70 Can.FAIR Ext. Can.70 1/2 Full";0
CAF35;"Cal.28/70 Can.FAIR Ext. Can.70 CI bascule Cal.20";1
